simi
0.9582
0.9691
0.9409
0.9296
0.9437
0.9496
0.9292
0.9695
0.9362
0.9402
0.9552
0.9599
0.9301
0.9751
0.9568
0.9127
0.9382
0.9147
0.8846
0.9656
0.8978
0.962
0.8963
0.9161
0.9621
0.8697
0.927
0.9497
0.9326
0.9325
0.9316
0.9197
0.889
0.9779
0.8845
0.9586
0.896
0.9654
0.917
0.9875
0.9357
0.9557
0.9537
0.9407
0.9241
0.9236
0.9317
0.8876
0.9424
0.9463
0.9457
0.9446
0.922
0.8638
0.8967
0.9865
0.8914
0.9286
0.9182
0.9539
0.9106
0.9254
0.9452
0.8959
0.9346
0.9654
0.9455
0.8879
0.933
0.9616
0.9627
0.9026
0.9525
0.9608
0.9035
0.9505
0.9647
0.9366
0.9042
0.95
0.9737
0.9525
0.9608
0.9145
0.9035
0.9647
0.9366
0.9393
0.9042
0.8627
0.9716
0.9752
0.9354
0.9221
0.9279
0.9825
0.9561
0.9446
0.966
0.9431
0.9151
0.978
0.9833
0.9325
0.9316
0.9197
0.883
0.9779
0.9586
0.9233
0.9416
0.9217
0.8762
0.9424
0.9846
0.9217
0.9595
0.9424
0.947
0.9669
0.9502
0.9439
0.9428
0.8914
0.9286
0.9865
0.9091
0.9554
0.9278
0.9369
0.925
0.9654
0.9686
0.8879
0.933
0.9276
0.8452
0.9627
0.9026
0.9608
0.9145
0.9035
0.9488
0.9042
0.95
0.9716
0.9206
0.9561
0.9446
0.8638
0.9059
0.9766
0.8778
0.926
0.8924
0.9431
0.9258
0.9846
0.9217
0.9595
0.9424
0.9673
0.9213
0.9107
0.9516
0.8859
0.9136
0.8962
0.9238
0.9558
0.9458
0.8471
0.889
0.9439
0.9194
0.9218
0.9362
0.9739
0.9287
0.9402
0.9552
0.917
0.958
0.9525
0.9061
0.9259
0.9012
0.9652
0.9703
0.917
0.9484
0.9349
0.9117
0.951
0.9382
0.9523
0.8987
0.9041
0.958
0.9484
0.8537
0.8222
0.7496
0.7369
0.8152
0.6493
0.7626
0.8104
0.8302
0.7681
0.9076
0.9331
0.8982
0.8944
0.8314
0.8238
0.9447
0.9223
0.8352
0.7822
0.9015
0.778
0.9433
0.8894
0.8258
0.8836
0.9822
0.9265
0.9752
0.906
0.9524
0.8166
0.9433
0.8479
0.8696
0.8919
0.9416
0.9611
0.881
0.9414
0.7212
0.9114
0.9024
0.9185
0.8755
0.771
0.9591
0.8994
0.9176
0.9062
0.8417
0.8679
0.868
0.8898
0.9055
0.816
0.9305
0.9698
0.8947
0.9102
0.8767
0.6493
0.8039
0.7523
0.8771
0.7933
0.8447
0.7536
0.6843
0.7627
0.8316
0.7637
0.7634
0.7557
0.8251
0.7792
0.8201
0.7729
0.7917
0.8289
0.8972
0.8048
0.8971
0.711
0.8949
0.8372
0.7989
0.6769
0.7411
0.8474
0.7208
0.7986
0.7646
0.8322
0.807
0.7974
0.7846
0.7575
0.8019
0.8908
0.8404
0.835
0.7032
0.9113
0.7371
0.7406
0.7856
0.817
0.8329
0.6461
0.8166
0.909
0.8505
0.8627
0.8346
0.882
0.8011
0.7022
0.6766
0.8495
0.6966
0.8593
0.8162
0.8285
0.7283
0.813
0.7928
0.763
0.7657
0.7104
0.7819
0.7337
0.7901
0.877
0.7721
0.7559
0.799
0.8106
0.755
0.7683
0.7854
0.7703
0.7883
0.726
0.7728
0.7407
0.793
0.8408
0.7506
0.7939
0.8041
0.7819
0.72
0.7483
0.72
0.8068
0.8007
0.7188
0.7437
0.7149
0.7818
0.7591
0.7561
0.8771
0.7518
0.7615
0.7563
0.8181
0.7641
