,area1,area2,area3,area4,area5,area6,area7,area8,mean_heart,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,dist_gap1_1,dist_gap1_2,dist_gap1_3,dist_gap1_4,dist_gap1_5,dist_gap2_1,dist_gap2_2,dist_gap2_3,dist_gap2_4,dist_gap2_5,dist_gap3_1,dist_gap3_2,dist_gap3_3,dist_gap3_4,dist_gap3_5,dist_gap4_1,dist_gap4_2,dist_gap4_3,dist_gap4_4,dist_gap4_5,dist_gap5_1,dist_gap5_2,dist_gap5_3,dist_gap5_4,dist_gap5_5,dist_gap6_1,dist_gap6_2,dist_gap6_3,dist_gap6_4,dist_gap6_5,dist_gap7_1,dist_gap7_2,dist_gap7_3,dist_gap7_4,dist_gap7_5,dist_gap8_1,dist_gap8_2,dist_gap8_3,dist_gap8_4,dist_gap8_5,class,simi,diff,avg_dis1,avg_dis2,avg_dis3,avg_dis4,avg_dis5
258,3109.5,3322.0,3131.0,3183.5,3246.5,3350.5,3165.5,3163.5,0.0,78.92979742206063,25.60218755144178,-20.80679101271123,-61.78264414527071,-106.50436138175505,-152.17590361574673,159.7174409110834,119.29136217098426,90.6697303403953,10.770329614269007,11.04536101718726,30.265491900843116,65.73431371817918,90.60905032059436,2.23606797749979,13.0,7.280109889280518,94.06912352095134,87.14355971613737,9.848857801796104,2.23606797749979,4.123105625617661,78.31347265956222,82.75868534480233,3.1622776601683795,9.433981132056603,19.235384061671343,89.19641248391103,84.02380615040002,3.605551275463989,10.295630140987,22.47220505424423,83.02409288875127,101.23734488813898,8.0,5.0,20.615528128088304,93.34880824091972,89.00561780022652,21.095023109728988,11.04536101718726,13.152946437965904,88.0,86.27861844049197,9.433981132056603,10.816653826391969,20.518284528683196,90.50966799187808,Incomplete,0.8947,12.599700611662788,88.625,6.875,8.875,16.875,85.0
318,552.5,1871.5,473.0,636.0,499.5,740.5,1150.0,707.5,0.0,78.3106308245608,31.890791801845708,-12.339087278326195,-56.08256946302965,-99.16234704572172,-137.6025622024998,168.6900675259798,127.0565281894096,73.00684899377592,15.231546211727816,11.40175425099138,9.486832980505138,70.02856560004639,67.20119046564577,11.04536101718726,11.704699910719626,14.317821063276352,68.76772498781678,61.0,7.615773105863909,9.219544457292889,8.246211251235321,56.00892785976178,51.73973328110612,8.06225774829855,12.36931687685298,16.76305461424021,67.20119046564577,65.06919393998976,9.0,9.486832980505138,14.0356688476182,60.29925372672534,64.53681120105021,15.297058540778355,14.142135623730953,13.601470508735444,74.41102068914255,53.46026561849464,12.806248474865695,7.615773105863909,13.152946437965904,66.48308055437865,71.50524456289902,14.866068747318506,13.152946437965904,10.04987562112089,60.876925020897694,Unrecognizable,0.6766,44.50451566452576,63.125,10.75,10.75,12.125,65.125
77,3179.0,3257.5,3157.0,3158.0,3158.5,3203.0,3050.5,3145.0,3163.5625,73.73979529168804,27.0955524937518,-15.642246457208728,-61.85839876773828,-109.6538240580533,-152.9044475062482,160.3461759419467,116.565051177078,93.0,14.142135623730953,5.0990195135927845,13.152946437965904,90.0499861188218,94.06912352095134,13.038404810405298,1.4142135623730951,9.848857801796104,90.50966799187808,88.05112151472007,8.06225774829855,2.0,11.6619037896906,88.0,83.48652585896721,8.54400374531753,1.0,9.848857801796104,87.11486669908874,93.04837451562494,13.152946437965904,1.0,12.0,96.08329719571452,87.69264507357501,11.180339887498947,2.23606797749979,10.295630140987,88.41379982785493,95.00526301210895,10.44030650891055,1.4142135623730951,10.816653826391969,94.04786015641186,84.1486779456457,10.770329614269007,0.0,13.601470508735444,87.0,Complete,0.9366,12.936743505227106,89.625,9.75,1.625,10.875,90.0
47,1163.0,1475.5,1513.0,1225.0,1253.0,1492.0,1505.5,1467.0,1386.75,73.90918365114783,33.690067525979785,-12.804266065286752,-64.59228189105153,-112.24902365721238,-153.94650468950906,157.55724663470565,124.38034472384489,87.00574693662483,13.341664064126334,5.385164807134504,15.231546211727816,85.00588214941364,90.78546139112804,10.44030650891055,1.0,11.180339887498947,94.76286192385707,88.05112151472007,10.198039027185567,1.4142135623730951,11.180339887498947,89.02246907382428,88.41379982785493,10.63014581273465,1.0,8.602325267042627,94.36630754670864,89.0,10.0,1.0,6.708203932499369,90.13878188659972,90.55385138137416,15.231546211727816,2.23606797749979,12.529964086141668,94.11163583744572,90.0222194794152,7.280109889280518,1.0,7.280109889280518,93.00537618869136,89.49860334105779,9.055385138137416,0.0,10.44030650891055,92.69843580125828,Complete,0.8876,18.82735109885151,88.875,9.75,1.5,10.0,91.375
248,3508.0,3383.0,3318.5,3431.5,3482.5,3358.5,3437.5,3493.5,0.0,71.87813975209865,25.513870427534243,-15.35013649242442,-71.17528998175993,-106.58733855692742,-118.14160123226172,159.77514056883192,115.3461759419467,82.09750300709517,9.055385138137416,10.295630140987,13.41640786499874,96.00520819205592,92.76313923105448,10.44030650891055,5.0,15.0,99.03534722511958,85.0235261559999,12.083045973594572,4.0,6.4031242374328485,93.04837451562494,98.3107318658548,5.0990195135927845,4.0,12.041594578792296,89.10667763978185,93.04837451562494,5.656854249492381,12.649110640673518,11.40175425099138,88.0056816347672,93.02150289046077,10.63014581273465,8.48528137423857,16.401219466856727,83.6301381082203,101.00495037373167,11.180339887498947,2.23606797749979,7.280109889280518,83.09632964216891,96.93812459502196,21.93171219946131,8.06225774829855,3.605551275463989,78.5175139698144,Incomplete,0.9176,17.69574278030486,92.5,9.25,6.625,10.375,88.625
272,1080.5,1264.5,1235.5,1071.5,1587.5,1542.0,1034.5,1029.0,0.0,82.76307797403199,39.472459848343824,-16.11341823308929,-56.853004167744,-112.5205656028969,-158.96248897457818,174.4470289669632,125.9723870492849,74.24284477308234,20.591260281974,15.0,35.35533905932738,93.1933474020544,68.24954212300622,30.083217912982647,49.20365840057018,33.421549934136806,76.36753236814714,107.298648640139,33.015148038438355,28.861739379323623,29.8328677803526,93.08598175880188,90.50966799187808,29.154759474226505,28.46049894151541,53.225933528685054,80.7093550959243,103.07764064044152,28.0,30.265491900843116,41.10960958218893,99.0050503762308,94.04786015641186,16.1245154965971,16.278820596099706,37.48332962798263,95.524865872714,61.20457499239743,19.209372712298546,22.02271554554524,32.0,68.73136110975832,88.3911760301898,42.63801121065568,15.524174696260024,17.69180601295413,92.63368717696602,Broken,0.7634,19.676145761744756,85.625,27.5,25.375,34.625,87.0
137,3468.0,3435.0,3376.5,3439.5,3528.5,3557.5,3430.0,3448.5,3460.4375,73.90918365114783,32.22875743509856,-16.11341823308929,-62.9044475062482,-108.79988515865266,-155.4622715234222,162.71850162818336,120.46554491945987,88.0056816347672,10.198039027185567,1.4142135623730951,14.142135623730953,91.08786966440702,87.69264507357501,11.40175425099138,1.4142135623730951,9.219544457292889,84.21995013059554,90.00555538409837,11.04536101718726,1.4142135623730951,11.6619037896906,88.05112151472007,85.63293758829018,10.44030650891055,1.0,9.486832980505138,96.42613753542138,88.0,8.94427190999916,2.23606797749979,7.071067811865476,88.14193099768123,88.3911760301898,14.7648230602334,0.0,11.6619037896906,87.86353054595519,91.02197536858888,8.06225774829855,1.0,5.0990195135927845,94.02127418834527,76.4198926981712,11.180339887498947,2.0,8.94427190999916,77.98717843338096,Complete,0.9627,10.511478368430769,86.625,9.5,1.125,9.25,88.125
363,1439.0,577.0,1038.5,1178.0,1128.5,977.5,1520.0,1470.5,0.0,83.8298249049704,48.01278750418334,-18.43494882292201,-60.42216131873867,-101.92932217723832,-149.48976259388445,156.948699083527,116.1139126302907,132.015150645674,42.04759208325728,40.049968789001575,36.013886210738214,99.08077512817508,68.8839603971781,12.083045973594572,27.459060435491963,38.948684188300895,96.16652224137046,77.1621668954417,14.212670403551895,20.8806130178211,29.8328677803526,71.0,82.00609733428362,45.5411901469428,41.593268686170845,37.33630940518894,75.8023746329889,86.83317338436964,43.0,38.2099463490856,77.0,113.1591799192624,94.11163583744572,39.05124837953327,38.2099463490856,38.948684188300895,69.31089380465383,94.19129471453292,21.470910553583888,12.041594578792296,7.280109889280518,58.034472514187634,84.17244204607586,16.15549442140351,9.219544457292889,6.082762530298219,82.03657720797473,Unrecognizable,0.8771,30.983420012175017,89.625,27.875,28.125,33.5,82.875
78,3059.5,1651.0,3403.5,3203.0,3326.5,1737.5,3215.5,3026.5,2827.875,71.93952806380082,26.05349531049095,-14.85861444792466,-59.98163257239092,-106.58733855692742,-156.3706222693432,159.7174409110834,117.47443162627712,95.0210502993942,12.649110640673518,8.54400374531753,11.704699910719626,90.00555538409837,91.21951545584967,10.44030650891055,1.0,8.246211251235321,89.19641248391103,88.02272433866155,12.649110640673518,3.0,14.7648230602334,89.00561780022652,84.1486779456457,10.816653826391969,0.0,10.0,89.19641248391103,91.08786966440702,16.76305461424021,5.0990195135927845,13.152946437965904,94.00531899844816,89.80534505250787,15.264337522473747,1.0,14.317821063276352,93.34880824091972,91.02197536858888,13.92838827718412,1.0,11.180339887498947,88.0,78.49203781276162,12.083045973594572,1.0,9.433981132056603,82.13403679352427,Complete,0.9042,17.32800707861968,88.375,11.0,2.5,11.25,89.25
163,3397.5,3427.0,3440.5,1851.5,3480.0,3546.0,2890.0,3544.5,3197.125,71.56505117707799,25.60218755144178,-13.172553423326892,-61.78264414527071,-114.86369657175187,-152.87869659584135,160.4268741695898,116.565051177078,90.00555538409837,10.198039027185567,4.123105625617661,7.071067811865476,92.02173656261871,90.52071586106683,17.72004514666935,3.605551275463989,15.811388300841896,93.38094023943002,88.02272433866155,8.06225774829855,1.0,9.0,90.0,86.37129152675674,13.0,2.0,11.6619037896906,94.49338601193207,91.0494371207203,11.180339887498947,3.0,11.704699910719626,88.0056816347672,92.02173656261871,19.209372712298546,2.23606797749979,20.518284528683196,95.46203433826454,90.0222194794152,14.142135623730953,3.1622776601683795,13.0,87.00574693662483,93.33809511662427,13.601470508735444,4.0,17.0,95.46203433826454,Complete,0.9107,9.648509985960876,90.0,11.75,2.75,12.875,91.75
