area1,area2,area3,area4,area5,area6,area7,area8,mean_heart,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,dist_gap1_1,dist_gap1_2,dist_gap1_3,dist_gap2_1,dist_gap2_2,dist_gap2_3,dist_gap3_1,dist_gap3_2,dist_gap3_3,dist_gap4_1,dist_gap4_2,dist_gap4_3,dist_gap5_1,dist_gap5_2,dist_gap5_3,dist_gap6_1,dist_gap6_2,dist_gap6_3,dist_gap7_1,dist_gap7_2,dist_gap7_3,dist_gap8_1,dist_gap8_2,dist_gap8_3,class,simi,diff,avg_dis1,avg_dis2,avg_dis3
3214.0,4305.0,3852.0,3995.0,4514.0,4011.5,4088.5,4458.5,4054.8125,68.56539587058197,23.702645950966243,-18.816068120943147,-64.27438735663432,-110.27268561330986,-155.5923313322199,154.5731258304102,109.91640599380908,33.24154027718932,9.055385138137416,83.05419917138447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.556349186104043,14.7648230602334,58.69412236331676,13.41640786499874,0.0,0.0,12.041594578792296,0.0,0.0,5.0990195135927845,26.30589287593181,33.24154027718932,0.0,0.0,Asymmetrical,0.7579,9.660278214017154,15.5,9.375,15.375
3755.5,3864.0,4591.5,5427.0,2852.0,3368.5,3905.5,5208.5,4121.5625,67.94356647296065,20.365536264089,-16.105142084148863,-67.47943439710312,-116.37533074625269,-161.84729411334885,154.69202123873652,113.881276017609,54.147945482723536,17.804493814764857,38.2099463490856,11.40175425099138,17.72004514666935,42.80186911806539,19.209372712298546,12.041594578792296,56.00892785976178,20.024984394500787,8.246211251235321,43.9089968002003,45.967379738244816,21.213203435596427,33.13608305156178,0.0,20.615528128088304,75.7429864739964,34.828149534536,20.0,0.0,54.147945482723536,11.40175425099138,19.209372712298546,Irregular,0.7329,29.122940083314948,29.625,13.25,38.25
1790.0,4277.0,1888.5,5021.0,1238.0,7120.5,5574.5,1438.5,3543.5,71.19219887296539,24.020246797264893,-30.96375653207352,-66.16125981682828,-113.65421335091024,-159.3045492659367,155.09523119190482,113.25259217486162,23.194827009486403,10.816653826391969,47.38143096192854,9.219544457292889,28.0178514522438,56.61271941887264,42.5205832509386,8.48528137423857,37.94733192202055,115.27792503337317,5.385164807134504,120.2538980657176,47.80167361086848,17.4928556845359,46.04345773288535,15.524174696260024,9.219544457292889,6.708203932499369,46.86149805543992,10.63014581273465,0.0,23.194827009486403,9.219544457292889,42.5205832509386,Broken,0.6025,53.59689221663881,40.0,10.75,44.25
4040.0,4225.5,3649.0,4397.5,3575.0,4305.5,2665.0,5024.0,3985.1875,64.48612957246576,23.29946326068254,-21.721050801997308,-68.64901975234642,-110.97975320273513,-156.62583563495178,156.98524558121005,107.29244939987768,40.01249804748511,15.132745950421556,82.02438661763951,6.4031242374328485,24.33105012119288,79.05694150420949,50.60632371551998,19.4164878389476,52.773099207835045,33.37663853655727,12.083045973594572,55.90169943749474,69.42621983083913,32.89376840679705,68.06614430096654,53.009433122794285,17.88854381999832,70.0,58.137767414994535,7.280109889280518,63.28506932918696,40.01249804748511,6.4031242374328485,50.60632371551998,Irregular,0.7295,25.55057742493455,43.625,23.5,64.875
2004.0,3282.5,2177.5,1171.5,1014.0,3704.0,2162.5,1248.0,2095.5,70.75812172197563,19.15561244543967,-24.253919724316592,-73.96766064606403,-107.41797079220284,-160.2630985044991,167.12499844038751,116.565051177078,73.55270219373317,9.433981132056603,60.03332407921454,4.123105625617661,13.152946437965904,102.06860437960344,110.25878649794764,13.0,62.39390995922599,72.01388754955533,20.223748416156685,76.66159403508382,72.13875518748573,9.219544457292889,43.0,51.35172830587107,10.44030650891055,28.319604517012596,59.4138031100518,7.280109889280518,28.861739379323623,73.55270219373317,4.123105625617661,110.25878649794764,Broken,0.6017,63.60733341428344,64.25,13.25,63.625
4797.5,4899.0,4374.5,4378.0,4673.0,4417.0,4402.0,4334.5,4534.4375,68.5795408807901,20.556045219583467,-21.354377364898102,-68.43798652796853,-110.85445803957836,-158.83874018317172,159.49190102823155,110.05609473657542,55.22680508593631,6.4031242374328485,53.85164807134504,23.769728648009423,8.06225774829855,35.805027579936315,32.802438933713454,23.021728866442675,47.67598976424087,28.16025568065745,17.804493814764857,45.967379738244816,36.23534186398688,14.560219778561036,39.45883931389772,41.10960958218893,5.0,38.897300677553446,35.77708763999664,16.0312195418814,47.265209192385896,55.22680508593631,23.769728648009423,32.802438933713454,Asymmetrical,0.864,8.695555392126979,38.125,17.875,42.0
3967.0,3874.5,4245.0,4182.0,4133.0,3904.0,3870.0,3736.5,3989.0,68.5795408807901,23.629377730656817,-19.98310652189998,-64.03593146176995,-108.43494882292202,-162.49552727315637,154.5731258304102,111.16125981682828,51.03920062069938,15.132745950421556,54.230987451824994,9.899494936611664,12.16552506059644,46.86149805543992,45.17742799230607,21.37755832643195,18.97366596101028,29.017236257093817,18.384776310850235,42.80186911806539,41.72529209005013,9.433981132056603,51.03920062069938,72.24956747275377,17.69180601295413,38.60051813123757,38.897300677553446,10.0,53.03772242470448,51.03920062069938,9.899494936611664,45.17742799230607,Asymmetrical,0.7269,18.91935696912112,42.0,19.25,43.375
4307.0,4338.0,4417.0,4362.5,4352.5,4257.5,4309.0,4499.5,4355.375,68.4286928087454,23.03504448918529,-21.879151337575287,-67.34810834790942,-112.10944834375168,-157.12633480937328,158.57954088079012,113.36434447605964,55.326304774492215,12.083045973594572,50.0,14.317821063276352,15.231546211727816,50.32891812864648,46.09772228646444,13.0,48.010415536631214,33.0,13.0,40.22437072223753,43.139309220245984,12.083045973594572,48.08326112068523,46.84015371452148,14.317821063276352,49.49747468305833,49.57822102496216,12.649110640673518,44.01136216933077,55.326304774492215,14.317821063276352,46.09772228646444,Complete,0.9472,7.907422239388019,42.625,17.125,46.875
4667.0,4980.0,4782.5,4813.5,4872.5,4930.0,5047.0,4900.5,4874.125,67.80454047132105,20.018760393783957,-24.638396724613845,-70.26309850449911,-109.598811324586,-156.85421664145753,157.71441235316723,111.8791513375753,39.20459156782532,2.23606797749979,39.319206502675,23.345235059857504,9.0,44.68780594300866,41.88078318274385,22.0,30.083217912982647,40.01249804748511,11.0,31.76476034853718,51.0881590977792,12.0,30.083217912982647,31.04834939252005,12.206555615733702,37.53664875824692,32.802438933713454,14.560219778561036,43.04648650006177,39.20459156782532,23.345235059857504,41.88078318274385,Asymmetrical,0.8369,7.536418187685607,37.0,16.75,36.875
3892.5,3830.5,4188.0,4262.5,4486.0,4134.5,3879.5,4204.0,4109.6875,71.98530608179476,24.24592868120061,-22.04591346237152,-68.90205041101085,-108.97040780848656,-158.57954088079012,155.8126464832594,111.94869908352698,49.49747468305833,17.46424919657298,36.76955262170047,22.360679774997894,16.1245154965971,0.0,51.10772935672255,17.804493814764857,0.0,50.15974481593781,16.401219466856727,41.77319714841085,54.56189146281496,11.180339887498947,46.2709412050371,60.00833275470999,15.132745950421556,45.803929962395145,41.400483088968905,23.0,0.0,49.49747468305833,22.360679774997894,51.10772935672255,Irregular,0.7928,8.449055446936267,47.0,14.25,27.375
